,Unnamed: 0.1,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,capableCOneThirtyCSeventeen,weatherLink
1670,15,PH,RPME,Butuan Principal Airport,N8.57.11',E125.28.69',8.95,125.46666666666668, Public,6450 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPME
1671,16,PH,RPML,Cagayan De Oro Airport,N8.24.97',E124.36.68',8.4,124.6,Military,7611 x 118feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPML
1672,17,PH,RPMU,Cagayan De Sulu Community Airport,N7.0.76',E118.29.72',7.0,118.48333333333332, Public,4265 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPMU
1673,18,PH,RPUK,Calapan Community Airport,N13.25.00',E121.12.10',13.416666666666664,121.2, Public,,,,,,,,,No,https://www.getmetar.com/RPUK
1674,19,PH,RPVC,Calbayog Principal Class 2 Airport,N12.4.62',E124.32.87',12.066666666666665,124.53333333333332, Public,4843 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPVC
1675,20,PH,RPMH,Camiguin Airport,N9.15.23',E124.42.51',9.25,124.7, Public,4400 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPMH
1676,21,PH,RPLM,Camp Capinpin Airport,N14.30.18',E121.21.78',14.5,121.35,Military,,,,,,,,,No,https://www.getmetar.com/RPLM
1677,22,PH,RPVF,Catarman Airport,N12.30.13',E124.38.15',12.5,124.63333333333334, Public,5161 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPVF
1678,23,PH,RPVY,Catbalogan Community Airport Airport,N11.48.29',E124.49.85',11.8,124.81666666666666, Public,,,,,,,,,No,https://www.getmetar.com/RPVY
1679,24,PH,RPVE,Caticlan Airport,N11.55.58',E121.57.44',11.916666666666664,121.95, Public,3117 x 98feet,Hard,,,,,,,No,https://www.getmetar.com/RPVE
1680,25,PH,RPUY,Cauayan Airport,N16.55.79',E121.45.20',16.916666666666668,121.75, Public,6883 x 118feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPUY
1681,26,PH,RPMC,Cotabato Airport,N7.9.89',E124.12.61',7.15,124.2, Public,6276 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPMC
1682,27,PH,RPLO,Cuyo Principal Class 2 Airport,N10.51.68',E121.4.08',10.85,121.06666666666666, Public,,,,,,,,,No,https://www.getmetar.com/RPLO
1683,28,PH,RPUD,Daet Community Airport Airport,N14.7.91',E122.59.25',14.116666666666667,122.98333333333332, Public,3773 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPUD
1684,29,PH,RPVA,Daniel Z Romualdez Airport,N11.13.66',E125.1.66',11.216666666666667,125.01666666666668, Public,7015 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPVA
1685,30,PH,RPLC,Diosdado Macapagal International Airport,N15.11.17',E120.33.62',15.183333333333335,120.55, Public,10499 x 197feet,Hard,10499 x 148feet,Unknown,,,,,Yes,https://www.getmetar.com/RPLC
1686,31,PH,RPMG,Dipolog Principal Class 1 Airport,N8.36.09',E123.20.51',8.6,123.33333333333331, Public,6273 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPMG
1687,32,PH,RPUL,Fernando Airport,N13.57.00',E121.7.00',13.95,121.11666666666666,Military,4953 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPUL
1688,33,PH,RPUF,Floridablanca Basa AB Airport,N14.59.20',E120.29.50',14.983333333333333,120.48333333333332,Military,8360 x 151feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPUF
1689,34,PH,RPLV,Fort Magsaysay Airport,N15.26.08',E121.5.46',15.433333333333335,121.08333333333331,Military,5100 x 45feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPLV
1690,35,PH,RPVV,Francisco B Reyes Airport,N12.7.32',E120.6.04',12.116666666666667,120.1, Public,3010 x 98feet,Hard,,,,,,,No,https://www.getmetar.com/RPVV
1691,36,PH,RPMD,Francisco Bangoy International Airport,N7.7.53',E125.38.75',7.116666666666666,125.63333333333334, Public,9843 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPMD
1692,37,PH,RPMB,General Santos Airport,N6.6.39',E125.14.12',6.1,125.23333333333332, Public,5577 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPMB
1693,38,PH,RPVG,Guiuan Community Airport Airport,N11.2.20',E125.44.57',11.033333333333333,125.73333333333332, Public,6870 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPVG
