,Unnamed: 0.1,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,capableCOneThirtyCSeventeen,weatherLink
86,86,IN,VEKO,Khajuraho Airport,N24.49.19',E79.55.11',24.816666666666666,79.91666666666667, Public,,,,,,,,,No,https://www.getmetar.com/VEKO
87,87,IN,VAKJ,Khajuraho Airport,N24.49.20',E79.55.10',24.816666666666666,79.91666666666667, Public,6000 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VAKJ
88,88,IN,VAKD,Khandwa Airport,N21.51.42',E76.19.98',21.85,76.31666666666666, Public,,,,,,,,,No,https://www.getmetar.com/VAKD
89,89,IN,VEKW,Khowai Airport,N24.3.70',E91.36.45',24.05,91.6, Public,,,,,,,,,No,https://www.getmetar.com/VEKW
90,90,IN,VIKG,Kishangarh Airport,N26.35.47',E74.48.97',26.58333333333333,74.8, Public,,,,,,,,,No,https://www.getmetar.com/VIKG
91,91,IN,VAKP,Kohlapur Airport,N16.39.98',E74.17.43',16.65,74.28333333333333, Public,4495 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VAKP
92,92,IN,VIKO,Kota Airport,N25.9.58',E75.50.93',25.15,75.83333333333333, Public,4000 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VIKO
93,93,IN,VIBR,Kullu Manali Airport,N31.52.61',E77.9.32',31.86666666666667,77.15, Public,3700 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/VIBR
94,94,IN,VEKI,Kushinagar Airport,N26.46.36',E83.53.72',26.766666666666666,83.88333333333334, Public,,,,,,,,,No,https://www.getmetar.com/VEKI
95,95,IN,VEBN,Lalbahadur Shastri Varanasi Airport,N25.27.07',E82.51.52',25.45,82.85, Public,,,,,,,,,No,https://www.getmetar.com/VEBN
96,96,IN,VILP,Lalitpur Airport,N24.42.97',E78.25.05',24.7,78.41666666666667, Public,,,,,,,,,No,https://www.getmetar.com/VILP
97,97,IN,VOLT,Latur Airport,N18.24.50',E76.27.92',18.4,76.45,Private,,,,,,,,,No,https://www.getmetar.com/VOLT
98,98,IN,VELP,Lengpui Airport,N23.50.28',E92.37.61',23.83333333333333,92.61666666666666, Public,8202 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VELP
99,99,IN,VELR,Lilabari Airport,N27.17.47',E94.5.61',27.28333333333333,94.08333333333331, Public,7500 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VELR
100,100,IN,VEGT,Lokpriya Gopinath Bordoloi Int Airport,N26.6.30',E91.35.13',26.1,91.58333333333331, Public,10180 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VEGT
101,101,IN,VILD,Ludhiana Airport,N30.51.35',E75.57.04',30.85,75.95, Public,4800 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/VILD
102,102,IN,VOMD,Madurai Airport,N9.50.10',E78.5.31',9.833333333333334,78.08333333333333, Public,5990 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VOMD
103,103,IN,VAUD,Maharana Pratap Airport Airport,N24.37.11',E73.53.56',24.61666666666667,73.88333333333334, Public,7484 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VAUD
104,104,IN,VEMH,Malda Airport,N25.0.67',E88.7.83',25.0,88.11666666666666, Public,,,,,,,,,No,https://www.getmetar.com/VEMH
105,105,IN,VOML,Mangalore Airport,N12.57.72',E74.53.39',12.95,74.88333333333334, Public,8038 x 151feet,Hard,4816 x 151feet,Unknown,,,,,Yes,https://www.getmetar.com/VOML
106,106,IN,VAMA,Mundra Airport,N22.50.12',E69.45.90',22.83333333333333,69.75, Public,,,,,,,,,No,https://www.getmetar.com/VAMA
107,107,IN,VEMZ,Muzzafarpur Airport,N26.7.02',E85.18.90',26.11666666666667,85.3, Public,4000 x 100feet,Hard,,,,,,,Yes,https://www.getmetar.com/VEMZ
108,108,IN,VOMY,Mysuru Airport,N12.13.95',E76.39.38',12.216666666666667,76.65, Public,,,,,,,,,No,https://www.getmetar.com/VOMY
109,109,IN,VADX,Naani Deesa Airport,N24.16.05',E72.12.32',24.266666666666666,72.2,Military,,,,,,,,,No,https://www.getmetar.com/VADX
110,110,IN,VOND,Nanded Airport,N19.10.86',E77.19.35',19.166666666666668,77.31666666666666, Public,,,,,,,,,No,https://www.getmetar.com/VOND
111,111,IN,VECC,Netaji Subhash Chandra Bose Airport,N22.39.24',E88.26.80',22.65,88.43333333333334, Public,11899 x 150feet,Hard,9314 x 150feet,Unknown,,,,,Yes,https://www.getmetar.com/VECC
